,Price,address,Local_area,zipcode,beds,baths,sqft,url,latitude,longitude
509,243000,2736 Emerson Ave Avenue,Kingman,86401,3.0,2.0,1429.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Kingman/2736-Emerson-Ave-Avenue/109752138.html,35.1328,-113.7033
510,290000,416 N 42nd Street,Phoenix,85008,3.0,1.0,934.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Phoenix/Camelback-East/416-N-42nd-Street/109757004.html,33.4665,-111.9984
511,379900,5212 N Lone Drive,Prescott Valley,86314,3.0,2.0,1216.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-Valley/5212-N-Lone-Drive/109774113.html,34.6019,-112.3264
512,326000,14847 W WINDROSE Drive,Surprise,85379,3.0,2.0,1337.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Surprise/Marley-Park/14847-W-WINDROSE-Drive/109759211.html,33.6021,-112.3736
513,1590000,28754 N. 107th Street ,Scottsdale,85262,3.0,3.0,4033.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/Troon/28754-N-107th-Street-/109727434.html,33.7752,-111.7791
514,444520,9310 E SATURN Avenue,Mesa,85212,3.0,2.0,1377.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Eastmark/9310-E-SATURN-Avenue/109756675.html,33.3425,-111.6353
515,399900,2520 Tovar Ln,Lake Havasu City,86403,3.0,2.0,1500.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-Havasu-City/2520-Tovar-Ln/109769080.html,34.4814,-114.3483
516,595000,5712 N 72ND Place,Scottsdale,85250,3.0,2.0,2475.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/Monterey/5712-N-72ND-Place/109757010.html,33.5218,-111.9049
517,2500000,5714 N ECHO CANYON Drive,Phoenix,85018,2.0,3.0,3478.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Phoenix/Camelback-East/5714-N-ECHO-CANYON-Drive/109756609.html,33.4958,-111.9883
518,270000,4784 W Daphne Lane,Tortolita,85742,3.0,2.0,1424.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Baja-Arizona/Tortolita/4784-W-Daphne-Lane/109776883.html,32.4076,-111.065
